idx,doc_id,senti_score_assets,senti_score_economy,senti_score_expenses,senti_score_govt policy,senti_score_industry,senti_score_innovation,senti_score_liquidity,senti_score_margins,senti_score_merges_acquisitions,senti_score_negative indicators,senti_score_positive indicators,indicators_ratio,senti_score_pricing,senti_score_product portfolio,senti_score_ratio,senti_score_recent trends,senti_score_recognition_awards,senti_score_revenue,senti_score_stocks,company,BSE_Code,Release_Date,BSE_Code_Yr,id,yr,Base_Price,one_mnthcp,six_mnthcp,one_yearcp,one_mnthcpchngper,six_mnthcpchngper,one_yearcpchngper,y_target,y_segment,y_target1,y_target6,y_target12
423,D:\Danny\DATA_text\POLARIS\5322540313.txt,3,4,1,10,2,9,2,2,1.5,1,13,13,3,4.5,4,3.5,4,0.5,1,POLARIS,532254,1/3/2013,532254_2013,532254,2013,118.9,117.05,118.35,155,-1.6,-0.5,30.4,5.720311777,5to6,4.999911331,5.007296393,5.195176608
424,D:\Danny\DATA_text\POLARIS\5322540314.txt,6,10,1,15,3.5,14,5,2,9,1,8,8,1,6.5,12,7,6,7,1,POLARIS,532254,1/3/2014,532254_2014,532254,2014,155,190.75,214.7,139.9,23.1,38.5,-9.7,5.669536036,5to6,5.153869462,5.239098007,4.943782987
425,D:\Danny\DATA_text\POLARIS\5322540315.txt,1.333333333,1.333333333,1,1.5,2,4.5,0.666666667,5,1,3,8,2.666666667,2,2.333333333,1.75,7,2,0.5,3,POLARIS,532254,1/3/2015,532254_2015,532254,2015,139.9,167.65,167.65,210.5,19.8,19.8,50.5,5.887491957,5to6,5.134621274,5.134621274,5.300814247
426,D:\Danny\DATA_text\PROZONINTU\5346750313.txt,10,2.5,2,6,3,7,3,1,3,2,4,2,2,2,7,2,3,4,2,PROZONINTU,534675,1/3/2013,534675_2013,534675,2013,22.1,25.5,20.6,17.7,15.4,-6.8,-19.9,5.122176669,5to6,5.108366783,4.964242255,4.868303386
427,D:\Danny\DATA_text\PROZONINTU\5346750314.txt,6,3,1,9,3.5,3,3,2,3,2,2,1,2,2,6,2,6,3,3,PROZONINTU,534675,1/3/2014,534675_2014,534675,2014,17.7,17.6,17.5,29.8,-0.6,-1.1,68.4,5.191845122,5to6,5.006627273,5.00327494,5.386328244
428,D:\Danny\DATA_text\PROZONINTU\5346750315.txt,10,5,2,5,6.5,8,5,1,5,3,4,1.333333333,3,2,16,5,4,5,7,PROZONINTU,534675,1/3/2015,534675_2015,534675,2015,29.8,36.65,24.8,31.75,23,-16.8,6.5,5.202632116,5to6,5.153291594,4.891851758,5.05305601
429,D:\Danny\DATA_text\RCOM\5327120310.txt,1.8,2.333333333,0.666666667,8,2.142857143,11,3,5,2.333333333,3.5,3.5,1,7,7.5,13,5.5,5,6,5,RCOM,532712,1/3/2010,532712_2010,532712,2010,157.35,170.25,156,86,8.2,-0.9,-45.3,5.463831805,5to6,5.063860055,5.004617222,4.651099118
430,D:\Danny\DATA_text\RCOM\5327120311.txt,1.6,2.25,1,12.5,3,6,4,5,3,7,9,1.285714286,4.5,12.5,12,11,7,9,5,RCOM,532712,1/3/2011,532712_2011,532712,2011,86,107.4,79.45,94.25,24.9,-7.6,9.6,5.498192291,5to6,5.164214382,4.958639999,5.072670685
431,D:\Danny\DATA_text\RCOM\5327120312.txt,3,4,1,9,5.333333333,2.5,4,5,11,3.5,6,1.714285714,3,6.333333333,7,14,2.5,9,5,RCOM,532712,1/3/2012,532712_2012,532712,2012,94.25,84.45,48.6,61.15,-10.4,-48.4,-35.1,5.352568781,5to6,4.93878119,4.621043535,4.744062185
432,D:\Danny\DATA_text\RCOM\5327120313.txt,2.5,3.666666667,0.666666667,4.833333333,5,2.5,5,2.5,5.5,1.25,11,8.8,3,14.5,7.333333333,10,3.5,3.5,5,RCOM,532712,1/3/2013,532712_2013,532712,2013,61.15,78.05,123.1,112.05,27.6,101.3,83.2,5.568535325,5to6,5.179533831,5.526647445,5.451896454
433,D:\Danny\DATA_text\RCOM\5327120314.txt,2.6,10,0.666666667,7.333333333,4,16,6,5,6.5,5,9.5,1.9,8,23,6,11,4,5.5,4,RCOM,532712,1/3/2014,532712_2014,532712,2014,112.05,133.2,116.05,68.45,18.9,3.6,-38.9,5.386557155,5to6,5.129306824,5.034351821,4.710430697
434,D:\Danny\DATA_text\RCOM\5327120315.txt,2.25,5,1.333333333,5.666666667,1.857142857,16,2,7,10,3,3.666666667,1.222222222,4,4.5,2,8,3,7,3,RCOM,532712,1/3/2015,532712_2015,532712,2015,68.45,72.15,60.3,88.2,5.4,-11.9,28.9,5.473110657,5to6,5.046002438,4.92797806,5.186826991
435,D:\Danny\DATA_text\RENUKA\5326700312.txt,2,3.5,1,8,6,3,3,5,2,1,5,5,1.5,6,6,2,2,2,3,RENUKA,532670,1/3/2012,532670_2012,532670,2012,37.05,32.6,30.3,23.55,-12,-18.2,-36.4,5.156465742,5to6,4.927253685,4.881285622,4.732683506
